use_id,crop,rate_value,rate_unit,rate_level,planting_method,workbook,product_identifier,region,target_pest,notes
"small_cereals|Wheat, spring (non-durum)|low|100.000|mg a.i./kg seed","Wheat, spring (non-durum)",100,mg a.i./kg seed,low,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, spring (non-durum)|low|100.000|mg a.i./kg seed","Wheat, spring (non-durum)",100,mg a.i./kg seed,low,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, spring (non-durum)|low|100.000|mg a.i./kg seed","Wheat, spring (non-durum)",100,mg a.i./kg seed,low,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, winter (non-durum)|high|300.000|mg a.i./kg seed","Wheat, winter (non-durum)",300,mg a.i./kg seed,high,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, winter (non-durum)|high|300.000|mg a.i./kg seed","Wheat, winter (non-durum)",300,mg a.i./kg seed,high,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, winter (non-durum)|high|300.000|mg a.i./kg seed","Wheat, winter (non-durum)",300,mg a.i./kg seed,high,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, winter (non-durum)|mid|200.000|mg a.i./kg seed","Wheat, winter (non-durum)",200,mg a.i./kg seed,mid,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, winter (non-durum)|mid|200.000|mg a.i./kg seed","Wheat, winter (non-durum)",200,mg a.i./kg seed,mid,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, winter (non-durum)|mid|200.000|mg a.i./kg seed","Wheat, winter (non-durum)",200,mg a.i./kg seed,mid,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, winter (non-durum)|low|100.000|mg a.i./kg seed","Wheat, winter (non-durum)",100,mg a.i./kg seed,low,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, winter (non-durum)|low|100.000|mg a.i./kg seed","Wheat, winter (non-durum)",100,mg a.i./kg seed,low,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, winter (non-durum)|low|100.000|mg a.i./kg seed","Wheat, winter (non-durum)",100,mg a.i./kg seed,low,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
small_cereals|Buckwheat|high|300.000|mg a.i./kg seed,Buckwheat,300,mg a.i./kg seed,high,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals|Buckwheat|high|300.000|mg a.i./kg seed,Buckwheat,300,mg a.i./kg seed,high,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals|Buckwheat|mid|200.000|mg a.i./kg seed,Buckwheat,200,mg a.i./kg seed,mid,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals|Buckwheat|mid|200.000|mg a.i./kg seed,Buckwheat,200,mg a.i./kg seed,mid,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals|Buckwheat|low|100.000|mg a.i./kg seed,Buckwheat,100,mg a.i./kg seed,low,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals|Buckwheat|low|100.000|mg a.i./kg seed,Buckwheat,100,mg a.i./kg seed,low,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals|Sorghum|high|300.000|mg a.i./kg seed,Sorghum,300,mg a.i./kg seed,high,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals|Sorghum|high|300.000|mg a.i./kg seed,Sorghum,300,mg a.i./kg seed,high,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals|Sorghum|mid|200.000|mg a.i./kg seed,Sorghum,200,mg a.i./kg seed,mid,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals|Sorghum|mid|200.000|mg a.i./kg seed,Sorghum,200,mg a.i./kg seed,mid,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals|Sorghum|low|100.000|mg a.i./kg seed,Sorghum,100,mg a.i./kg seed,low,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals|Sorghum|low|100.000|mg a.i./kg seed,Sorghum,100,mg a.i./kg seed,low,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals|Oat|high|200.000|mg a.i./kg seed,Oat,200,mg a.i./kg seed,high,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=9; status=ASSESSMENT_DEFAULT
small_cereals|Oat|high|200.000|mg a.i./kg seed,Oat,200,mg a.i./kg seed,high,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=9; status=ASSESSMENT_DEFAULT
small_cereals|Oat|high|200.000|mg a.i./kg seed,Oat,200,mg a.i./kg seed,high,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=9; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, pearl|high|300.000|mg a.i./kg seed","Millet, pearl",300,mg a.i./kg seed,high,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, pearl|high|300.000|mg a.i./kg seed","Millet, pearl",300,mg a.i./kg seed,high,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, pearl|high|300.000|mg a.i./kg seed","Millet, pearl",300,mg a.i./kg seed,high,precision,small_cereals,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, pearl|mid|200.000|mg a.i./kg seed","Millet, pearl",200,mg a.i./kg seed,mid,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, pearl|mid|200.000|mg a.i./kg seed","Millet, pearl",200,mg a.i./kg seed,mid,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, pearl|mid|200.000|mg a.i./kg seed","Millet, pearl",200,mg a.i./kg seed,mid,precision,small_cereals,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, pearl|low|100.000|mg a.i./kg seed","Millet, pearl",100,mg a.i./kg seed,low,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, pearl|low|100.000|mg a.i./kg seed","Millet, pearl",100,mg a.i./kg seed,low,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, pearl|low|100.000|mg a.i./kg seed","Millet, pearl",100,mg a.i./kg seed,low,precision,small_cereals,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, proso|high|300.000|mg a.i./kg seed","Millet, proso",300,mg a.i./kg seed,high,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, proso|high|300.000|mg a.i./kg seed","Millet, proso",300,mg a.i./kg seed,high,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, proso|high|300.000|mg a.i./kg seed","Millet, proso",300,mg a.i./kg seed,high,precision,small_cereals,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, proso|mid|200.000|mg a.i./kg seed","Millet, proso",200,mg a.i./kg seed,mid,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, proso|mid|200.000|mg a.i./kg seed","Millet, proso",200,mg a.i./kg seed,mid,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
