crop,tkw_low_g_per_1000,tkw_high_g_per_1000,seeding_rate_low_seeds_per_ha_direct,seeding_rate_high_seeds_per_ha_direct,seeding_rate_low_kg_per_ha_low_tkw,seeding_rate_low_kg_per_ha_high_tkw,seeding_rate_high_kg_per_ha_low_tkw,seeding_rate_high_kg_per_ha_high_tkw,seeds_per_ha_low,seeds_per_ha_high,seeds_per_ha_low_basis,seeds_per_ha_high_basis,spring_seeded,fall_seeded,broadcast_seeded,drill_seeded,precision_planted,source,status
"Mustard, greens, excluding baby leaf",1.6,4.0,430556.0,1076391.0,0.6888896,1.722224,1.7222256000000002,4.305564,430556.0,1076391.0,DIRECT,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Mustard, oilseed, broadcast seeding",1.6,4.0,,,5.5,5.5,9.0,9.0,1375000.0,5625000.0,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,FALSE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Mustard, oilseed, standard planting",1.6,4.0,,,4.5,4.5,8.0,8.0,1125000.0,5000000.0,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,FALSE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Mustard, yellow",4.5,6.5,,,7.8,7.8,11.2,11.2,1200000.0,2488888.888888889,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Oat,27.0,46.0,,,53.8,53.8,157.0,157.0,1169565.2173913042,5814814.814814814,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Onion, dry bulb, excluding set production",2.9,4.7,86111.0,1066667.0,0.2497219,0.4047217000000001,3.0933342999999995,5.0133349,86111.0,1066667.0,DIRECT,DIRECT,TRUE,TRUE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Onion, green/bunching",2.2,3.8,625000.0,7750016.0,1.375,2.375,17.050035200000003,29.450060799999996,625000.0,7750016.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Onion, pickling/pearl and dry bulb for set production",2.9,4.7,12000000.0,23529412.0,34.8,56.4,68.2352948,110.58823640000001,12000000.0,23529412.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Parsley,1.8,1.8,,,1.0,1.0,2.0,2.0,555555.5555555555,1111111.111111111,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
Parsnip,5.0,5.0,,,3.0,3.0,5.5,5.5,600000.0,1100000.0,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
"Pea, field/dry pulse",125.0,300.0,322917.0,1139707.0,40.364625,96.87509999999999,142.463375,341.9121,322917.0,1139707.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Pea, horticultural/vegetable",111.0,333.0,107639.0,1853289.0,11.947929,35.843787,205.715079,617.145237,107639.0,1853289.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Pepper,3.3,9.1,23920.0,109739.0,0.078936,0.217672,0.3621387,0.9986249,23920.0,109739.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Radish,8.5,9.1,,,11.0,11.0,17.0,17.0,1208791.2087912087,1999999.9999999998,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,TRUE,PMRA 2015,ASSESSMENT_DEFAULT
