workbook,seed_use_number,crop,rate_level,application_rate,application_rate_unit,source,status
canola,6.0,"Canola/rapeseed, all varieties, standard seeding",mid,4000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,6.0,"Canola/rapeseed, all varieties, standard seeding",low,2000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,1.0,"Bean, broad/faba, large-seeded",high,500.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,1.0,"Bean, broad/faba, large-seeded",mid,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,1.0,"Bean, broad/faba, large-seeded",low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,2.0,"Bean, broad/faba, small-seeded",high,560.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,2.0,"Bean, broad/faba, small-seeded",mid,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,2.0,"Bean, broad/faba, small-seeded",low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,3.0,"Bean, broad/faba, small-seeded",high,0.076,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,3.0,"Bean, broad/faba, small-seeded",low,0.045,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,4.0,"Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",high,0.076,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,4.0,"Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",low,0.045,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,5.0,"Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",high,560.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,5.0,"Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",mid,500.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,5.0,"Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",low,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,6.0,"Bean, coloured excluding kidney and cranberry , wide row/standard planting",high,0.076,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,6.0,"Bean, coloured excluding kidney and cranberry , wide row/standard planting",low,0.045,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,7.0,"Bean, coloured excluding kidney and cranberry , wide row/standard planting",high,560.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
